affiliate_id,customer_name,poc_fn,poc_ln,contact_num,email,industry
1,Voonder,Lyndel,Joddins,405-230-0715,ljoddins0@buzzfeed.com,Food Chains
2,InnoZ,Bancroft,Frie,520-566-1082,bfrie1@tripod.com,n/a
3,Dynava,Mireille,Bricket,469-583-1303,mbricket2@w3.org,n/a
4,Agimba,Odette,Beran,267-665-7008,oberan3@prnewswire.com,Computer Software: Prepackaged Software
5,Feedfish,Dannie,Stickles,530-724-5608,dstickles4@ocn.ne.jp,n/a
6,Vinte,Karia,Nurse,531-314-3659,knurse5@google.co.uk,Precious Metals
7,Katz,Pietro,Giabuzzi,629-212-4583,pgiabuzzi6@diigo.com,Semiconductors
8,Yata,Rosabel,Bottoms,977-610-8213,rbottoms7@ebay.com,Plastic Products
9,Mita,Bathsheba,Feldhammer,916-208-2859,bfeldhammer8@illinois.edu,Movies/Entertainment
10,Zazio,Michel,Hoffner,440-851-4883,mhoffner9@bloomberg.com,Medical Specialities
11,Gevee,Mattie,Estcourt,769-156-8317,mestcourta@mozilla.com,n/a
12,Quinu,Luelle,Laver,783-109-6723,llaverb@storify.com,Other Consumer Services
13,Zazio,Almeria,Holdworth,349-510-8470,aholdworthc@ebay.co.uk,Business Services
14,Feedfish,Patrizius,Castanaga,280-110-7062,pcastanagad@cocolog-nifty.com,Finance: Consumer Services
15,Mudo,Ninnette,Bassom,269-328-7277,nbassome@google.ca,Industrial Machinery/Components
16,Demimbu,Rancell,Meneely,515-131-7520,rmeneelyf@facebook.com,Finance: Consumer Services
17,Avamba,Zaria,Bebbington,776-336-3616,zbebbingtong@ucoz.com,Biotechnology: Electromedical & Electrotherapeutic Apparatus
18,Realbuzz,Lewiss,Aleksandrov,862-867-8989,laleksandrovh@psu.edu,Major Pharmaceuticals
19,Skyble,Aeriela,Hayth,290-193-9783,ahaythi@cdbaby.com,Business Services
20,Npath,Nertie,Hedworth,942-454-2523,nhedworthj@cafepress.com,Major Banks
21,Kaymbo,Egon,Bennison,803-233-2150,ebennisonk@apache.org,n/a
22,Jaloo,Cleopatra,Monckman,250-940-6423,cmonckmanl@sfgate.com,Services-Misc. Amusement & Recreation
23,Fivebridge,Hope,Dominy,700-121-9670,hdominym@hatena.ne.jp,Power Generation
24,Divavu,Ambur,Lathey,351-794-3097,alatheyn@jiathis.com,Major Pharmaceuticals
25,Centizu,Clementine,Plewright,707-924-3067,cplewrighto@jiathis.com,Business Services
26,Shuffletag,Isak,Lacey,962-213-9991,ilaceyp@wordpress.org,Medical/Dental Instruments
27,Yacero,Faydra,Dudleston,759-295-3994,fdudlestonq@google.com,Telecommunications Equipment
28,Linktype,Joni,Shreeves,962-654-6216,jshreevesr@army.mil,Oil Refining/Marketing
29,Aibox,Dyan,Blaisdale,547-675-5171,dblaisdales@clickbank.net,Department/Specialty Retail Stores
30,Youspan,Reta,Duding,447-486-5314,rdudingt@army.mil,Major Pharmaceuticals
